"deviceVendor","deviceProduct","deviceHostName","deviceAddress","_count"
"Microsoft","Microsoft Windows","OBTVM-TSTKFRM2.odeabank.com.tr","10.224.22.65","7"
"Microsoft","Microsoft Windows","OBTVM-TSTKKBP2.odeabank.com.tr","10.224.22.108","7"
"Microsoft","Microsoft Windows","OBTVM-TSTOCUI2.odeabank.com.tr","10.224.123.15","7"
"Microsoft","Microsoft Windows","OBTVM-TSTPYR1.odeabank.com.tr","10.224.115.46","7"
"Microsoft","Microsoft Windows","OBTVM-TSTYTSU1.odeabank.com.tr","10.224.22.86","7"
"Microsoft","Microsoft Windows","PW9019-0051.odeabank.com.tr","10.225.208.75","7"
"Microsoft","Microsoft Windows","PW9019-0206.odeabank.com.tr","10.225.208.166","7"
"Microsoft","System or Application Event","CWA-0173.odeabank.com.tr","10.225.236.183","7"
"Microsoft","System or Application Event","CWE-0011.odeabank.com.tr","10.225.237.90","7"
"Microsoft","System or Application Event","CWE-0016.odeabank.com.tr","10.225.237.73","7"
"Microsoft","System or Application Event","OBTVM-DRIXGW11.odeabank.com.tr","10.224.164.111","7"
"Microsoft","System or Application Event","OBTVM-DRTRM23.odeabank.com.tr","10.224.172.13","7"
"Microsoft","System or Application Event","OBTVM-DWHTSTUI1.odeabank.com.tr","10.224.99.105","7"
"Microsoft","System or Application Event","OBTVM-DWHUI3.odeabank.com.tr","10.224.10.110","7"
"Microsoft","System or Application Event","PW1040-0005.odeabank.com.tr","10.225.3.113","7"
"Microsoft","System or Application Event","PW1120-0013.odeabank.com.tr","10.225.38.46","7"
"Microsoft","System or Application Event","PW1200-0006.odeabank.com.tr","10.225.29.72","7"
"Microsoft","System or Application Event","PW9019-0088.odeabank.com.tr","10.225.208.212","7"
"Microsoft","System or Application Event","PW9019-0180.odeabank.com.tr","10.225.208.215","7"
"Microsoft","System or Application Event","PWG1040-0002.odeabank.com.tr","10.225.3.185","7"
"Microsoft","System or Application Event","PWG1260-0002.odeabank.com.tr","10.225.43.89","7"
"Microsoft","Microsoft Windows","CW9019-0078.odeabank.com.tr","10.225.237.234","6"
"Microsoft","Microsoft Windows","DSTE1140-02.odeabank.com.tr","10.225.65.138","6"
"Microsoft","Microsoft Windows","DSTE2240-01.odeabank.com.tr","10.225.42.220","6"
"Microsoft","Microsoft Windows","OBTVM-CLSRLY1.odeabank.com.tr","10.224.21.45","6"
"Microsoft","Microsoft Windows","OBTVM-DRQMU1.odeabank.com.tr","10.224.146.116","6"
"Microsoft","Microsoft Windows","OBTVM-DRTRM20.odeabank.com.tr","10.224.172.42","6"
"Microsoft","Microsoft Windows","OBTVM-KKTB4.odeabank.com.tr","10.224.21.74","6"
"Microsoft","Microsoft Windows","OBTVM-TSTBIGDB1.odeabank.com.tr","10.224.108.88","6"
"Microsoft","Microsoft Windows","OBTVM-TSTCAPP01.odeabank.com.tr","10.224.115.144","6"
"Microsoft","Microsoft Windows","OBTVM-TSTHSM01.odeabank.com.tr","10.224.123.141","6"
"Microsoft","Microsoft Windows","OBTVM-TSTIBDN1.odeabank.com.tr","10.224.115.126","6"
"Microsoft","Microsoft Windows","OBTVM-TSTPPMRP1.odeabank.com.tr","10.224.59.60","6"
"Microsoft","Microsoft Windows","OBTVM-TSTSQLM1.odeabank.com.tr","10.224.122.28","6"
"Microsoft","Microsoft Windows","OBTVM-TSTSWFDB1.odeabank.com.tr","10.224.50.41","6"
"Microsoft","Microsoft Windows","OBTVM-TSTTO1.odeabank.com.tr","10.224.22.61","6"
"Microsoft","Microsoft Windows","PCWC02-0026.odeabank.com.tr","10.225.190.43","6"
